"","Country","Score.2015","rank.2015","Score.2016","rank.2016","Score.2017","rank.2017","Score.2018","rank.2018","Score.2019","rank.2019","Score.Mean","GDP.2015","GDP.2016","GDP.2017","GDP.2018","GDP.2019","GDP.Mean","Social.2015","Social.2016","Social.2017","Social.2018","Social.2019","Social.support.Mean","Health.2015","Health.2016","Health.2017","Health.Mean","Freedom.2015","Freedom.2016","Freedom.2017","Freedom.2018","Freedom.2019","Freedom.Mean","Generosity.2015","Generosity.2016","Generosity.2017","Generosity.2018","Generosity.2019","Generosity.Mean","Perceptions.of.corruption.2015","Perceptions.of.corruption.2016","Perceptions.of.corruption.2017","Perceptions.of.corruption.2018","Perceptions.of.corruption.2019","Perceptions.of.corruption.Mean","rank.mean"
"11","Israel",7.278,11,7.267,11,7.21299982070923,11,6.814,19,7.139,13,7.278,1.22857,1.33766,1.37538242340088,1.301,1.276,1.22857,1.22393,0.99537,1.37628996372223,1.559,1.455,1.22393,0.91387,0.84917,0.83840399980545,0.91387,0.41319,0.36432,0.405988603830338,0.533,0.371,0.41319,0.33172,0.32288,0.330082654953003,0.354,0.261,0.33172,0.07785,0.08728,0.0852421000599861,"0.272",0.082,0.07785,59.2
"12","Costa Rica",7.226,12,7.087,14,7.0789999961853,12,7.072,13,7.167,12,7.226,0.95578,1.06879,1.10970628261566,1.01,1.034,0.95578,1.23788,1.02152,1.41640365123749,1.459,1.441,1.23788,0.86027,0.76146,0.759509265422821,0.86027,0.63376,0.55225,0.580131649971008,0.632,0.558,0.63376,0.25497,0.22553,0.214613229036331,0.143,0.144,0.25497,0.10583,0.10547,0.100106589496136,"0.101",0.093,0.10583,30.6
"13","Austria",7.2,13,7.119,12,7.00600004196167,13,7.139,12,7.246,10,7.2,1.33723,1.45038,1.48709726333618,1.341,1.376,1.33723,1.29704,1.08383,1.4599449634552,1.504,1.475,1.29704,0.89042,0.80565,0.815328419208527,0.89042,0.62433,0.54355,0.567766189575195,0.617,0.532,0.62433,0.33088,0.32865,0.316472321748734,0.242,0.244,0.33088,0.18676,0.21348,0.221060365438461,"0.224",0.226,0.18676,6.2
"14","Mexico",7.187,14,6.778,21,6.57800006866455,25,6.488,24,6.595,23,7.187,1.02054,1.11508,1.15318381786346,1.038,1.07,1.02054,0.91451,0.7146,1.210862159729,1.252,1.323,0.91451,0.81444,0.71143,0.709978997707367,0.81444,0.48181,0.37709,0.412730008363724,0.479,0.433,0.48181,0.14074,0.11735,0.120990432798862,0.069,0.074,0.14074,0.21312,0.18355,0.132774114608765,"0.095",0.073,0.21312,76.8
"15","United States",7.119,15,7.104,13,6.99300003051758,14,6.886,18,6.892,19,7.119,1.39451,1.50796,1.54625928401947,1.398,1.433,1.39451,1.24711,1.04782,1.41992056369781,1.471,1.457,1.24711,0.86179,0.779,0.77428662776947,0.86179,0.54604,0.48163,0.505740523338318,0.547,0.454,0.54604,0.40105,0.41077,0.392578780651093,0.291,0.28,0.40105,0.1589,0.14868,0.135638788342476,"0.133",0.128,0.1589,124.8
"16","Brazil",6.983,16,6.952,17,6.63500022888184,22,6.419,28,6.3,32,6.983,0.98124,1.08754,1.10735321044922,0.986,1.004,0.98124,1.23287,1.03938,1.43130600452423,1.474,1.439,1.23287,0.69702,0.61415,0.616552352905273,0.69702,0.49049,0.40425,0.437453746795654,0.493,0.39,0.49049,0.14574,0.15776,0.16234989464283,0.11,0.099,0.14574,0.17521,0.14166,0.111092761158943,"0.088",0.086,0.17521,16.4
"17","Luxembourg",6.946,17,6.871,20,6.86299991607666,18,6.91,17,7.09,14,6.946,1.56391,1.69752,1.74194359779358,1.576,1.609,1.56391,1.21963,1.03999,1.45758366584778,1.52,1.479,1.21963,0.91894,0.84542,0.845089495182037,0.91894,0.61583,0.5487,0.59662789106369,0.632,0.526,0.61583,0.28034,0.27571,0.283180981874466,0.196,0.194,0.28034,0.37798,0.35329,0.31883442401886,"0.321",0.316,0.37798,85.4
"18","Ireland",6.94,18,6.907,19,6.97700023651123,15,6.977,14,7.021,16,6.94,1.33596,1.48341,1.53570663928986,1.448,1.499,1.33596,1.36948,1.16157,1.55823111534119,1.583,1.553,1.36948,0.89533,0.81455,0.80978262424469,0.89533,0.61777,0.54008,0.573110342025757,0.614,0.516,0.61777,0.45901,0.44963,0.42785832285881,0.307,0.298,0.45901,0.28703,0.29754,0.29838815331459,"0.306",0.31,0.28703,68
"19","Belgium",6.937,19,6.929,18,6.89099979400635,17,6.927,16,6.923,18,6.937,1.30782,1.42539,1.46378076076508,1.324,1.356,1.30782,1.28566,1.05249,1.46231269836426,1.483,1.504,1.28566,0.89667,0.81959,0.818091869354248,0.89667,0.5845,0.51354,0.539770722389221,0.583,0.473,0.5845,0.2225,0.2424,0.231503337621689,0.188,0.16,0.2225,0.2254,0.26248,0.251343131065369,"0.240",0.21,0.2254,12.6
"20","United Arab Emirates",6.901,20,6.573,28,6.64799976348877,21,6.774,20,6.825,21,6.901,1.42727,1.57352,1.62634336948395,2.096,1.503,1.42727,1.12575,0.87114,1.26641023159027,0.776,1.31,1.12575,0.80925,0.72993,0.726798236370087,0.80925,0.64157,0.56215,0.60834527015686,0.284,0.598,0.64157,0.26428,0.26591,0.3609419465065,0.186,0.262,0.26428,0.38583,0.35561,0.324489563703537,"N/A",0.182,0.38583,138.6
